Mean_time	Mean_qlow	Mean_qup	Priors
t_n73_MAMMALIA	201.793	164.5	248.75	B(1.649,2.51254)
t_n74_THERIA	139.09	122.67	163.51	B(1.2156,1.696)
t_n75_DIDELPHIMORPHIA-AUSTRALIDELPHIA	55.438	43.7	69.59	B(0.476,1.313)
t_n76_EOMETATHERIA	45.244	35.08	56.54	B(0.2303,0.56)
t_n77_PLACENTALIA	80.006	77.19	83.01	B(0.616,1.646)
t_n78_XENARTHRA-AFROTHERIA	78.532	75.89	81.34	NA
t_n79_XENARTHRA	62.277	56.64	67.06	B(0.476,1.646)
t_n80_AFROTHERIA	65.817	62.13	69.35	B(0.56,1.646)
t_n81_PAENUNGULATA	56.916	52.49	61.72	B(0.56,1.646)
t_n82_BOREOEUTHERIA	74.975	72.86	77.17	NA
t_n83_LAURASIATHERIA	69.693	68.13	71.42	NA
t_n84_ERINACEIDAE-SORICIDAE	58.486	55.45	61.15	B(0.616,1.646)
t_n85_SCROTIFERA	68.016	66.56	69.68	NA
t_n86_CHIROPTERA	58.662	55.7	61.15	B(0.476,0.6611)
t_n87_FEREUNGULATA	67.35	65.93	68.98	NA
t_n88_CARNIVORA	51.923	47.71	55.18	B(0.373,0.6611)
t_n89_FELIDAE	15.52	11.76	19.35	NA
t_n90_PANTHERINAE	7.929	5.73	10.3	NA
t_n91_CANIFORMIA	44.56	39.84	48.38	B(0.373,0.6611)
t_n92_ARCTOIDEA	37.76	32.88	42.06	NA
t_n93_EUUNGULATA	66.199	64.82	67.78	B(0.524,0.6611)
t_n94_ARTIODACTYLA	57.4	55.82	58.89	B(0.505,0.6611)
t_n95_ARTIOFABULA	54.942	53.29	56.39	NA
t_n96_CETRUMINANTIA	50.018	48.13	51.5	B(0.505,0.6611)
t_n97_BOVIDAE	18.639	15.89	22.94	B(0.16,0.281)
t_n98_ovis_aries-capra_hircus	8.19	6.4	10.65	NA
t_n99_EUARCHONTOGLIRES	69.682	68.02	71.26	B(0.616,1.646)
t_n100_Tupaia-Glires	68.85	67.24	70.37	NA
t_n101_GLIRES	66.107	64.64	67.45	B(0.56,1.646)
t_n102_LAGOMORPHA	47.637	45.72	49.71	B(0.476,0.6611)
t_n103_RODENTIA	60.701	59.45	61.89	B(0.56,0.6611)
t_n104_ROD-NOSQUIRREL	59.246	58	60.45	B(0.476,0.592)
t_n105_CAVIOMORPHA-PHIOMORPHA	41.119	38.22	43.87	NA
t_n106_BATHYERGIDAE|PHIOMORPHA	31.949	28.54	35.18	NA
t_n107_CAVIOMORPHA	35.573	32.59	38.41	NA
t_n108_Cavia_porcellus-Cavia_aperea	9.026	7.26	10.87	NA
t_n109_Chinchilla_lanigera-Octodon_degus	31.858	28.85	34.74	NA
t_n110_dipodomys_ordi-MYOMORPHA	54.846	53.29	56.28	B(0.407,0.592)
t_n111_MYOMORPHA	46.172	43.1	48.7	NA
t_n112_nannospalax_galili-MURIDAE	37.251	33.36	40.87	NA
t_n113_MURIDAE	20.212	16.69	24.94	NA
t_n114_CRICETIDAE	16.059	13.1	20.13	NA
t_n115_Mesocricetus_auratus-Cricetulus_griseus	10.539	8.42	13.59	NA
t_n116_Peromyscus_maniculatus-Microtus_ochrogaster	15.09	12.28	18.98	NA
t_n117_MURINAE	10.796	8.48	14.06	B(0.072,0.16)
t_n118_Mus_pahari-rest	5.338	4.07	7.17	NA
t_n119_Mus_caroli-rest	2.762	2.07	3.77	NA
t_n120_Mus_spretus-Mus_musculus	1.299	0.97	1.79	NA
t_n121_PRIMATES	64.758	63.1	66.15	B(0.56,0.6611)
t_n122_STREPSIRHINI	52.767	48.75	55.72	B(0.339,0.6611)
t_n123_within_Lemuroidea	35.148	29.49	40.55	NA
t_n124_HAPLORHINI	61.441	59.55	63.06	NA
t_n125_ANTHROPOIDEA/SIMIIFORMES	40.224	36.81	43.36	B(0.339,0.6611)
t_n126_AOTIDAE-CALLITRICHIDAE	18.214	13.86	21.48	NA
t_n127_aotus_nancymaae-callithrix_jacchus	17.503	13.28	20.68	NA
t_n128_CEBIDAE	16.014	12.09	19.02	NA
t_n129_CATARRHINI	30.303	27.32	33.03	B(0.2444,0.339)
t_n130_CERCOPITHECOIDEA	18.232	15.95	20.49	NA
t_n131_CERCOPITHECINAE	13.675	11.76	15.59	B(0.0533,0.34)
t_n132_PAPIONINI	10.427	8.86	12.03	B(0.053,0.339)
t_n133_Papio-Mandrillus	8.869	7.49	10.29	NA
t_n134_cercocebus_atys-mandrillus_leucophaeus	7.441	6.25	8.69	NA
t_n135_GENUS_MACACA	5.745	4.77	6.81	NA
t_n136_macaca_fascicularis-macaca_mulatta	4.232	3.48	5.07	NA
t_n137_COLOBINAE	13.212	11.35	15.17	NA
t_n138_GENUS RHINOPITHECUS	4.057	3.23	5.02	NA
t_n139_HOMINOIDEA	22.632	20.01	24.93	NA
t_n140_HOMINIDAE	20.116	17.67	22.24	B(0.1163,0.339)
t_n141_HOMININAE	11.344	9.65	12.4	B(0.0533,0.339)
t_n142_HOMININI	9.267	7.84	10.09	B(0.065,0.1)
t_n143_pan_paniscus-pan_troglodites	3.795	3.1	4.41	NA
